資料年月	縣市別	鄉鎮市區	郵寄區號	性別	年齡級距	人數
10712	南投縣	仁愛鄉	546	女	30歲-34歲	500
10712	南投縣	仁愛鄉	546	女	35歲-39歲	525
10712	南投縣	仁愛鄉	546	女	40歲-44歲	538
10712	南投縣	仁愛鄉	546	女	45歲-49歲	471
10712	南投縣	仁愛鄉	546	女	50歲-54歲	535
10712	南投縣	仁愛鄉	546	女	55歲-59歲	604
10712	南投縣	仁愛鄉	546	女	60歲-64歲	537
10712	南投縣	仁愛鄉	546	女	65歲-69歲	365
10712	南投縣	仁愛鄉	546	女	70歲-74歲	210
10712	南投縣	仁愛鄉	546	女	75歲-79歲	173
10712	南投縣	仁愛鄉	546	女	80歲以上	229
10712	南投縣	信義鄉	556	男	0歲-4歲	336
10712	南投縣	信義鄉	556	男	5歲-9歲	420
10712	南投縣	信義鄉	556	男	10歲-14歲	368
10712	南投縣	信義鄉	556	男	15歲-19歲	457
10712	南投縣	信義鄉	556	男	20歲-24歲	626
10712	南投縣	信義鄉	556	男	25歲-29歲	697
10712	南投縣	信義鄉	556	男	30歲-34歲	692
10712	南投縣	信義鄉	556	男	35歲-39歲	664
10712	南投縣	信義鄉	556	男	40歲-44歲	587
10712	南投縣	信義鄉	556	男	45歲-49歲	590
10712	南投縣	信義鄉	556	男	50歲-54歲	674
10712	南投縣	信義鄉	556	男	55歲-59歲	713
10712	南投縣	信義鄉	556	男	60歲-64歲	612
10712	南投縣	信義鄉	556	男	65歲-69歲	380
10712	南投縣	信義鄉	556	男	70歲-74歲	188
10712	南投縣	信義鄉	556	男	75歲-79歲	150
10712	南投縣	信義鄉	556	男	80歲以上	228
10712	南投縣	信義鄉	556	女	0歲-4歲	311
10712	南投縣	信義鄉	556	女	5歲-9歲	359
10712	南投縣	信義鄉	556	女	10歲-14歲	348
10712	南投縣	信義鄉	556	女	15歲-19歲	449
10712	南投縣	信義鄉	556	女	20歲-24歲	569
10712	南投縣	信義鄉	556	女	25歲-29歲	617
10712	南投縣	信義鄉	556	女	30歲-34歲	539
10712	南投縣	信義鄉	556	女	35歲-39歲	561
10712	南投縣	信義鄉	556	女	40歲-44歲	480
10712	南投縣	信義鄉	556	女	45歲-49歲	482
10712	南投縣	信義鄉	556	女	50歲-54歲	521
10712	南投縣	信義鄉	556	女	55歲-59歲	543
10712	南投縣	信義鄉	556	女	60歲-64歲	485
10712	南投縣	信義鄉	556	女	65歲-69歲	324
10712	南投縣	信義鄉	556	女	70歲-74歲	216
10712	南投縣	信義鄉	556	女	75歲-79歲	192
10712	南投縣	信義鄉	556	女	80歲以上	314
10712	南投縣	南投市	540	男	0歲-4歲	1200
10712	南投縣	南投市	540	男	5歲-9歲	1973
10712	南投縣	南投市	540	男	10歲-14歲	2359
10712	南投縣	南投市	540	男	15歲-19歲	2897
10712	南投縣	南投市	540	男	20歲-24歲	3310
10712	南投縣	南投市	540	男	25歲-29歲	3863
10712	南投縣	南投市	540	男	30歲-34歲	3586
10712	南投縣	南投市	540	男	35歲-39歲	3879
10712	南投縣	南投市	540	男	40歲-44歲	3615
10712	南投縣	南投市	540	男	45歲-49歲	3178
10712	南投縣	南投市	540	男	50歲-54歲	3559
10712	南投縣	南投市	540	男	55歲-59歲	3847
10712	南投縣	南投市	540	男	60歲-64歲	3545
10712	南投縣	南投市	540	男	65歲-69歲	2889
10712	南投縣	南投市	540	男	70歲-74歲	1623
10712	南投縣	南投市	540	男	75歲-79歲	1260
10712	南投縣	南投市	540	男	80歲以上	2001
10712	南投縣	南投市	540	女	0歲-4歲	1146
10712	南投縣	南投市	540	女	5歲-9歲	1719
10712	南投縣	南投市	540	女	10歲-14歲	2100
10712	南投縣	南投市	540	女	15歲-19歲	2562
10712	南投縣	南投市	540	女	20歲-24歲	3247
10712	南投縣	南投市	540	女	25歲-29歲	3344
10712	南投縣	南投市	540	女	30歲-34歲	3065
10712	南投縣	南投市	540	女	35歲-39歲	3545
10712	南投縣	南投市	540	女	40歲-44歲	3506
10712	南投縣	南投市	540	女	45歲-49歲	3325
10712	南投縣	南投市	540	女	50歲-54歲	3847
10712	南投縣	南投市	540	女	55歲-59歲	4123
10712	南投縣	南投市	540	女	60歲-64歲	3770
10712	南投縣	南投市	540	女	65歲-69歲	3077
10712	南投縣	南投市	540	女	70歲-74歲	1836
10712	南投縣	南投市	540	女	75歲-79歲	1645
10712	南投縣	南投市	540	女	80歲以上	2668
10712	南投縣	名間鄉	551	男	0歲-4歲	439
10712	南投縣	名間鄉	551	男	5歲-9歲	551
10712	南投縣	名間鄉	551	男	10歲-14歲	713
10712	南投縣	名間鄉	551	男	15歲-19歲	1100
10712	南投縣	名間鄉	551	男	20歲-24歲	1287
10712	南投縣	名間鄉	551	男	25歲-29歲	1421
10712	南投縣	名間鄉	551	男	30歲-34歲	1315
10712	南投縣	名間鄉	551	男	35歲-39歲	1428
10712	南投縣	名間鄉	551	男	40歲-44歲	1486
10712	南投縣	名間鄉	551	男	45歲-49歲	1455
10712	南投縣	名間鄉	551	男	50歲-54歲	1701
10712	南投縣	名間鄉	551	男	55歲-59歲	1784
10712	南投縣	名間鄉	551	男	60歲-64歲	1500
10712	南投縣	名間鄉	551	男	65歲-69歲	1183
10712	南投縣	名間鄉	551	男	70歲-74歲	725
10712	南投縣	名間鄉	551	男	75歲-79歲	712
10712	南投縣	名間鄉	551	男	80歲以上	997
10712	南投縣	名間鄉	551	女	0歲-4歲	388
10712	南投縣	名間鄉	551	女	5歲-9歲	503
10712	南投縣	名間鄉	551	女	10歲-14歲	607
10712	南投縣	名間鄉	551	女	15歲-19歲	977
10712	南投縣	名間鄉	551	女	20歲-24歲	1241
10712	南投縣	名間鄉	551	女	25歲-29歲	1215
10712	南投縣	名間鄉	551	女	30歲-34歲	1061
10712	南投縣	名間鄉	551	女	35歲-39歲	1189
10712	南投縣	名間鄉	551	女	40歲-44歲	1257
10712	南投縣	名間鄉	551	女	45歲-49歲	1257
10712	南投縣	名間鄉	551	女	50歲-54歲	1438
10712	南投縣	名間鄉	551	女	55歲-59歲	1408
10712	南投縣	名間鄉	551	女	60歲-64歲	1245
10712	南投縣	名間鄉	551	女	65歲-69歲	1103
10712	南投縣	名間鄉	551	女	70歲-74歲	797
10712	南投縣	名間鄉	551	女	75歲-79歲	720
10712	南投縣	名間鄉	551	女	80歲以上	1333
10712	南投縣	國姓鄉	544	男	0歲-4歲	173
10712	南投縣	國姓鄉	544	男	5歲-9歲	246
10712	南投縣	國姓鄉	544	男	10歲-14歲	267
10712	南投縣	國姓鄉	544	男	15歲-19歲	466
10712	南投縣	國姓鄉	544	男	20歲-24歲	582
10712	南投縣	國姓鄉	544	男	25歲-29歲	654
10712	南投縣	國姓鄉	544	男	30歲-34歲	596
10712	南投縣	國姓鄉	544	男	35歲-39歲	602
10712	南投縣	國姓鄉	544	男	40歲-44歲	665
10712	南投縣	國姓鄉	544	男	45歲-49歲	759
10712	南投縣	國姓鄉	544	男	50歲-54歲	1029
10712	南投縣	國姓鄉	544	男	55歲-59歲	996
10712	南投縣	國姓鄉	544	男	60歲-64歲	881
10712	南投縣	國姓鄉	544	男	65歲-69歲	654
10712	南投縣	國姓鄉	544	男	70歲-74歲	386
10712	南投縣	國姓鄉	544	男	75歲-79歲	366
10712	南投縣	國姓鄉	544	男	80歲以上	504
10712	南投縣	國姓鄉	544	女	0歲-4歲	193
10712	南投縣	國姓鄉	544	女	5歲-9歲	199
10712	南投縣	國姓鄉	544	女	10歲-14歲	247
10712	南投縣	國姓鄉	544	女	15歲-19歲	396
10712	南投縣	國姓鄉	544	女	20歲-24歲	513
10712	南投縣	國姓鄉	544	女	25歲-29歲	518
10712	南投縣	國姓鄉	544	女	30歲-34歲	444
10712	南投縣	國姓鄉	544	女	35歲-39歲	523
10712	南投縣	國姓鄉	544	女	40歲-44歲	576
10712	南投縣	國姓鄉	544	女	45歲-49歲	582
10712	南投縣	國姓鄉	544	女	50歲-54歲	679
10712	南投縣	國姓鄉	544	女	55歲-59歲	764
10712	南投縣	國姓鄉	544	女	60歲-64歲	665
10712	南投縣	國姓鄉	544	女	65歲-69歲	544
10712	南投縣	國姓鄉	544	女	70歲-74歲	424
10712	南投縣	國姓鄉	544	女	75歲-79歲	437
10712	南投縣	國姓鄉	544	女	80歲以上	702
10712	南投縣	埔里鎮	545	男	0歲-4歲	961
10712	南投縣	埔里鎮	545	男	5歲-9歲	1314
10712	南投縣	埔里鎮	545	男	10歲-14歲	1651
10712	南投縣	埔里鎮	545	男	15歲-19歲	2340
10712	南投縣	埔里鎮	545	男	20歲-24歲	2743
10712	南投縣	埔里鎮	545	男	25歲-29歲	2768
10712	南投縣	埔里鎮	545	男	30歲-34歲	2576
10712	南投縣	埔里鎮	545	男	35歲-39歲	2884
10712	南投縣	埔里鎮	545	男	40歲-44歲	2851
10712	南投縣	埔里鎮	545	男	45歲-49歲	2734
10712	南投縣	埔里鎮	545	男	50歲-54歲	3129
10712	南投縣	埔里鎮	545	男	55歲-59歲	3320
10712	南投縣	埔里鎮	545	男	60歲-64歲	2998
10712	南投縣	埔里鎮	545	男	65歲-69歲	2417
10712	南投縣	埔里鎮	545	男	70歲-74歲	1488
10712	南投縣	埔里鎮	545	男	75歲-79歲	1174
10712	南投縣	埔里鎮	545	男	80歲以上	1582
10712	南投縣	埔里鎮	545	女	0歲-4歲	895
10712	南投縣	埔里鎮	545	女	5歲-9歲	1302
10712	南投縣	埔里鎮	545	女	10歲-14歲	1665
10712	南投縣	埔里鎮	545	女	15歲-19歲	2107
10712	南投縣	埔里鎮	545	女	20歲-24歲	2636
10712	南投縣	埔里鎮	545	女	25歲-29歲	2541
10712	南投縣	埔里鎮	545	女	30歲-34歲	2300
10712	南投縣	埔里鎮	545	女	35歲-39歲	2730
10712	南投縣	埔里鎮	545	女	40歲-44歲	2883
10712	南投縣	埔里鎮	545	女	45歲-49歲	2986
10712	南投縣	埔里鎮	545	女	50歲-54歲	3139
10712	南投縣	埔里鎮	545	女	55歲-59歲	3404
10712	南投縣	埔里鎮	545	女	60歲-64歲	3123
10712	南投縣	埔里鎮	545	女	65歲-69歲	2651
10712	南投縣	埔里鎮	545	女	70歲-74歲	1586
10712	南投縣	埔里鎮	545	女	75歲-79歲	1351
10712	南投縣	埔里鎮	545	女	80歲以上	2102
10712	南投縣	水里鄉	553	男	0歲-4歲	172
10712	南投縣	水里鄉	553	男	5歲-9歲	237
10712	南投縣	水里鄉	553	男	10歲-14歲	268
10712	南投縣	水里鄉	553	男	15歲-19歲	446
10712	南投縣	水里鄉	553	男	20歲-24歲	513
10712	南投縣	水里鄉	553	男	25歲-29歲	579
10712	南投縣	水里鄉	553	男	30歲-34歲	595
10712	南投縣	水里鄉	553	男	35歲-39歲	604
10712	南投縣	水里鄉	553	男	40歲-44歲	619
10712	南投縣	水里鄉	553	男	45歲-49歲	630
10712	南投縣	水里鄉	553	男	50歲-54歲	775
10712	南投縣	水里鄉	553	男	55歲-59歲	786
10712	南投縣	水里鄉	553	男	60歲-64歲	815
10712	南投縣	水里鄉	553	男	65歲-69歲	669
10712	南投縣	水里鄉	553	男	70歲-74歲	351
10712	南投縣	水里鄉	553	男	75歲-79歲	348
10712	南投縣	水里鄉	553	男	80歲以上	470
10712	南投縣	水里鄉	553	女	0歲-4歲	167
10712	南投縣	水里鄉	553	女	5歲-9歲	221
10712	南投縣	水里鄉	553	女	10歲-14歲	257
10712	南投縣	水里鄉	553	女	15歲-19歲	427
10712	南投縣	水里鄉	553	女	20歲-24歲	457
10712	南投縣	水里鄉	553	女	25歲-29歲	514
10712	南投縣	水里鄉	553	女	30歲-34歲	457
10712	南投縣	水里鄉	553	女	35歲-39歲	532
10712	南投縣	水里鄉	553	女	40歲-44歲	465
10712	南投縣	水里鄉	553	女	45歲-49歲	496
10712	南投縣	水里鄉	553	女	50歲-54歲	602
10712	南投縣	水里鄉	553	女	55歲-59歲	679
10712	南投縣	水里鄉	553	女	60歲-64歲	726
10712	南投縣	水里鄉	553	女	65歲-69歲	570
10712	南投縣	水里鄉	553	女	70歲-74歲	385
10712	南投縣	水里鄉	553	女	75歲-79歲	435
10712	南投縣	水里鄉	553	女	80歲以上	673
10712	南投縣	竹山鎮	557	男	0歲-4歲	698
10712	南投縣	竹山鎮	557	男	5歲-9歲	883
10712	南投縣	竹山鎮	557	男	10歲-14歲	1033
10712	南投縣	竹山鎮	557	男	15歲-19歲	1500
10712	南投縣	竹山鎮	557	男	20歲-24歲	1737
10712	南投縣	竹山鎮	557	男	25歲-29歲	1836
10712	南投縣	竹山鎮	557	男	30歲-34歲	1822
10712	南投縣	竹山鎮	557	男	35歲-39歲	2132
10712	南投縣	竹山鎮	557	男	40歲-44歲	2120
10712	南投縣	竹山鎮	557	男	45歲-49歲	1959
10712	南投縣	竹山鎮	557	男	50歲-54歲	2112
10712	南投縣	竹山鎮	557	男	55歲-59歲	2373
10712	南投縣	竹山鎮	557	男	60歲-64歲	2024
10712	南投縣	竹山鎮	557	男	65歲-69歲	1760
10712	南投縣	竹山鎮	557	男	70歲-74歲	1138
10712	南投縣	竹山鎮	557	男	75歲-79歲	932
10712	南投縣	竹山鎮	557	男	80歲以上	1274
10712	南投縣	竹山鎮	557	女	0歲-4歲	611
10712	南投縣	竹山鎮	557	女	5歲-9歲	894
10712	南投縣	竹山鎮	557	女	10歲-14歲	1022
10712	南投縣	竹山鎮	557	女	15歲-19歲	1412
10712	南投縣	竹山鎮	557	女	20歲-24歲	1549
10712	南投縣	竹山鎮	557	女	25歲-29歲	1631
10712	南投縣	竹山鎮	557	女	30歲-34歲	1561
10712	南投縣	竹山鎮	557	女	35歲-39歲	1955
10712	南投縣	竹山鎮	557	女	40歲-44歲	1926
10712	南投縣	竹山鎮	557	女	45歲-49歲	1825
10712	南投縣	竹山鎮	557	女	50歲-54歲	1902
10712	南投縣	竹山鎮	557	女	55歲-59歲	2077
10712	南投縣	竹山鎮	557	女	60歲-64歲	1986
10712	南投縣	竹山鎮	557	女	65歲-69歲	1765
10712	南投縣	竹山鎮	557	女	70歲-74歲	1204
10712	南投縣	竹山鎮	557	女	75歲-79歲	1035
10712	南投縣	竹山鎮	557	女	80歲以上	1721
10712	南投縣	草屯鎮	542	男	0歲-4歲	1157
10712	南投縣	草屯鎮	542	男	5歲-9歲	1847
10712	南投縣	草屯鎮	542	男	10歲-14歲	2106
10712	南投縣	草屯鎮	542	男	15歲-19歲	2713
10712	南投縣	草屯鎮	542	男	20歲-24歲	3413
10712	南投縣	草屯鎮	542	男	25歲-29歲	3685
10712	南投縣	草屯鎮	542	男	30歲-34歲	3453
10712	南投縣	草屯鎮	542	男	35歲-39歲	3887
10712	南投縣	草屯鎮	542	男	40歲-44歲	3633
10712	南投縣	草屯鎮	542	男	45歲-49歲	3345
10712	南投縣	草屯鎮	542	男	50歲-54歲	3715
10712	南投縣	草屯鎮	542	男	55歲-59歲	3816
10712	南投縣	草屯鎮	542	男	60歲-64歲	3461
10712	南投縣	草屯鎮	542	男	65歲-69歲	2955
10712	南投縣	草屯鎮	542	男	70歲-74歲	1627
10712	南投縣	草屯鎮	542	男	75歲-79歲	1298
10712	南投縣	草屯鎮	542	男	80歲以上	1836
10712	南投縣	草屯鎮	542	女	0歲-4歲	1061
10712	南投縣	草屯鎮	542	女	5歲-9歲	1616
10712	南投縣	草屯鎮	542	女	10歲-14歲	1956
10712	南投縣	草屯鎮	542	女	15歲-19歲	2580
10712	南投縣	草屯鎮	542	女	20歲-24歲	3086
10712	南投縣	草屯鎮	542	女	25歲-29歲	3323
10712	南投縣	草屯鎮	542	女	30歲-34歲	2903
10712	南投縣	草屯鎮	542	女	35歲-39歲	3484
10712	南投縣	草屯鎮	542	女	40歲-44歲	3598
10712	南投縣	草屯鎮	542	女	45歲-49歲	3493
10712	南投縣	草屯鎮	542	女	50歲-54歲	3784
10712	南投縣	草屯鎮	542	女	55歲-59歲	3939
10712	南投縣	草屯鎮	542	女	60歲-64歲	3537
10712	南投縣	草屯鎮	542	女	65歲-69歲	2833
10712	南投縣	草屯鎮	542	女	70歲-74歲	1752
10712	南投縣	草屯鎮	542	女	75歲-79歲	1479
10712	南投縣	草屯鎮	542	女	80歲以上	2457
10712	南投縣	集集鎮	552	男	0歲-4歲	126
10712	南投縣	集集鎮	552	男	5歲-9歲	133
10712	南投縣	集集鎮	552	男	10歲-14歲	158
10712	南投縣	集集鎮	552	男	15歲-19歲	253
10712	南投縣	集集鎮	552	男	20歲-24歲	326
10712	南投縣	集集鎮	552	男	25歲-29歲	384
10712	南投縣	集集鎮	552	男	30歲-34歲	327
10712	南投縣	集集鎮	552	男	35歲-39歲	386
10712	南投縣	集集鎮	552	男	40歲-44歲	375
10712	南投縣	集集鎮	552	男	45歲-49歲	403
10712	南投縣	集集鎮	552	男	50歲-54歲	537
10712	南投縣	集集鎮	552	男	55歲-59歲	504
10712	南投縣	集集鎮	552	男	60歲-64歲	444
10712	南投縣	集集鎮	552	男	65歲-69歲	341
10712	南投縣	集集鎮	552	男	70歲-74歲	242
10712	南投縣	集集鎮	552	男	75歲-79歲	215
10712	南投縣	集集鎮	552	男	80歲以上	358
10712	南投縣	集集鎮	552	女	0歲-4歲	104
10712	南投縣	集集鎮	552	女	5歲-9歲	142
10712	南投縣	集集鎮	552	女	10歲-14歲	139
10712	南投縣	集集鎮	552	女	15歲-19歲	243
10712	南投縣	集集鎮	552	女	20歲-24歲	343
10712	南投縣	集集鎮	552	女	25歲-29歲	351
10712	南投縣	集集鎮	552	女	30歲-34歲	295
10712	南投縣	集集鎮	552	女	35歲-39歲	324
10712	南投縣	集集鎮	552	女	40歲-44歲	355
10712	南投縣	集集鎮	552	女	45歲-49歲	350
10712	南投縣	集集鎮	552	女	50歲-54歲	380
10712	南投縣	集集鎮	552	女	55歲-59歲	440
10712	南投縣	集集鎮	552	女	60歲-64歲	320
10712	南投縣	集集鎮	552	女	65歲-69歲	276
10712	南投縣	集集鎮	552	女	70歲-74歲	251
10712	南投縣	集集鎮	552	女	75歲-79歲	256
10712	南投縣	集集鎮	552	女	80歲以上	481
10712	南投縣	魚池鄉	555	男	0歲-4歲	193
10712	南投縣	魚池鄉	555	男	5歲-9歲	209
10712	南投縣	魚池鄉	555	男	10歲-14歲	253
10712	南投縣	魚池鄉	555	男	15歲-19歲	414
10712	南投縣	魚池鄉	555	男	20歲-24歲	491
10712	南投縣	魚池鄉	555	男	25歲-29歲	513
10712	南投縣	魚池鄉	555	男	30歲-34歲	464
10712	南投縣	魚池鄉	555	男	35歲-39歲	539
10712	南投縣	魚池鄉	555	男	40歲-44歲	569
10712	南投縣	魚池鄉	555	男	45歲-49歲	616
10712	南投縣	魚池鄉	555	男	50歲-54歲	697
10712	南投縣	魚池鄉	555	男	55歲-59歲	759
10712	南投縣	魚池鄉	555	男	60歲-64歲	701
10712	南投縣	魚池鄉	555	男	65歲-69歲	589
10712	南投縣	魚池鄉	555	男	70歲-74歲	340
10712	南投縣	魚池鄉	555	男	75歲-79歲	299
10712	南投縣	魚池鄉	555	男	80歲以上	479
10712	南投縣	魚池鄉	555	女	0歲-4歲	144
10712	南投縣	魚池鄉	555	女	5歲-9歲	185
10712	南投縣	魚池鄉	555	女	10歲-14歲	221
10712	南投縣	魚池鄉	555	女	15歲-19歲	357
10712	南投縣	魚池鄉	555	女	20歲-24歲	458
10712	南投縣	魚池鄉	555	女	25歲-29歲	441
10712	南投縣	魚池鄉	555	女	30歲-34歲	393
10712	南投縣	魚池鄉	555	女	35歲-39歲	496
10712	南投縣	魚池鄉	555	女	40歲-44歲	552
10712	南投縣	魚池鄉	555	女	45歲-49歲	511
10712	南投縣	魚池鄉	555	女	50歲-54歲	552
10712	南投縣	魚池鄉	555	女	55歲-59歲	614
10712	南投縣	魚池鄉	555	女	60歲-64歲	566
10712	南投縣	魚池鄉	555	女	65歲-69歲	479
10712	南投縣	魚池鄉	555	女	70歲-74歲	322
10712	南投縣	魚池鄉	555	女	75歲-79歲	334
10712	南投縣	魚池鄉	555	女	80歲以上	658
10712	南投縣	鹿谷鄉	558	男	0歲-4歲	200
10712	南投縣	鹿谷鄉	558	男	5歲-9歲	208
10712	南投縣	鹿谷鄉	558	男	10歲-14歲	235
10712	南投縣	鹿谷鄉	558	男	15歲-19歲	338
10712	南投縣	鹿谷鄉	558	男	20歲-24歲	514
10712	南投縣	鹿谷鄉	558	男	25歲-29歲	587
10712	南投縣	鹿谷鄉	558	男	30歲-34歲	619
10712	南投縣	鹿谷鄉	558	男	35歲-39歲	644
10712	南投縣	鹿谷鄉	558	男	40歲-44歲	669
10712	南投縣	鹿谷鄉	558	男	45歲-49歲	590
10712	南投縣	鹿谷鄉	558	男	50歲-54歲	776
10712	南投縣	鹿谷鄉	558	男	55歲-59歲	940
10712	南投縣	鹿谷鄉	558	男	60歲-64歲	885
10712	南投縣	鹿谷鄉	558	男	65歲-69歲	687
10712	南投縣	鹿谷鄉	558	男	70歲-74歲	398
10712	南投縣	鹿谷鄉	558	男	75歲-79歲	364
10712	南投縣	鹿谷鄉	558	男	80歲以上	613
10712	南投縣	鹿谷鄉	558	女	0歲-4歲	177
10712	南投縣	鹿谷鄉	558	女	5歲-9歲	213
10712	南投縣	鹿谷鄉	558	女	10歲-14歲	173
10712	南投縣	鹿谷鄉	558	女	15歲-19歲	335
10712	南投縣	鹿谷鄉	558	女	20歲-24歲	498
10712	南投縣	鹿谷鄉	558	女	25歲-29歲	550
10712	南投縣	鹿谷鄉	558	女	30歲-34歲	497
10712	南投縣	鹿谷鄉	558	女	35歲-39歲	540
10712	南投縣	鹿谷鄉	558	女	40歲-44歲	515
10712	南投縣	鹿谷鄉	558	女	45歲-49歲	484
10712	南投縣	鹿谷鄉	558	女	50歲-54歲	593
10712	南投縣	鹿谷鄉	558	女	55歲-59歲	774
10712	南投縣	鹿谷鄉	558	女	60歲-64歲	665
10712	南投縣	鹿谷鄉	558	女	65歲-69歲	543
10712	南投縣	鹿谷鄉	558	女	70歲-74歲	385
10712	南投縣	鹿谷鄉	558	女	75歲-79歲	382
10712	南投縣	鹿谷鄉	558	女	80歲以上	791
10712	嘉義市	東區	600	男	0歲-4歲	1753
10712	嘉義市	東區	600	男	5歲-9歲	2721
10712	嘉義市	東區	600	男	10歲-14歲	2823
10712	嘉義市	東區	600	男	15歲-19歲	3745
10712	嘉義市	東區	600	男	20歲-24歲	4154
10712	嘉義市	東區	600	男	25歲-29歲	4077
10712	嘉義市	東區	600	男	30歲-34歲	3615
10712	嘉義市	東區	600	男	35歲-39歲	4140
10712	嘉義市	東區	600	男	40歲-44歲	4057
10712	嘉義市	東區	600	男	45歲-49歲	3981
10712	嘉義市	東區	600	男	50歲-54歲	4340
10712	嘉義市	東區	600	男	55歲-59歲	4343
10712	嘉義市	東區	600	男	60歲-64歲	3890
10712	嘉義市	東區	600	男	65歲-69歲	3174
10712	嘉義市	東區	600	男	70歲-74歲	1909
10712	嘉義市	東區	600	男	75歲-79歲	1535
10712	嘉義市	東區	600	男	80歲以上	2223
10712	嘉義市	東區	600	女	0歲-4歲	1711
10712	嘉義市	東區	600	女	5歲-9歲	2468
10712	嘉義市	東區	600	女	10歲-14歲	2742
10712	嘉義市	東區	600	女	15歲-19歲	3532
10712	嘉義市	東區	600	女	20歲-24歲	4026
10712	嘉義市	東區	600	女	25歲-29歲	3759
10712	嘉義市	東區	600	女	30歲-34歲	3589
10712	嘉義市	東區	600	女	35歲-39歲	4490
10712	嘉義市	東區	600	女	40歲-44歲	4749
10712	嘉義市	東區	600	女	45歲-49歲	4794
10712	嘉義市	東區	600	女	50歲-54歲	4943
10712	嘉義市	東區	600	女	55歲-59歲	4786
10712	嘉義市	東區	600	女	60歲-64歲	4262
10712	嘉義市	東區	600	女	65歲-69歲	3716
10712	嘉義市	東區	600	女	70歲-74歲	2422
10712	嘉義市	東區	600	女	75歲-79歲	2112
10712	嘉義市	東區	600	女	80歲以上	3062
10712	嘉義市	西區	600	男	0歲-4歲	2390
10712	嘉義市	西區	600	男	5歲-9歲	3510
10712	嘉義市	西區	600	男	10歲-14歲	4023
10712	嘉義市	西區	600	男	15歲-19歲	4790
10712	嘉義市	西區	600	男	20歲-24歲	5056
10712	嘉義市	西區	600	男	25歲-29歲	4856
10712	嘉義市	西區	600	男	30歲-34歲	4441
10712	嘉義市	西區	600	男	35歲-39歲	5432
